[2017-07-14 13:16:58] Downloading update (5,033 of 6,284 KB)...
[2017-07-14 13:16:58] Downloading update (5,036 of 6,284 KB)...
[2017-07-14 13:16:58] Downloading update (5,043 of 6,284 KB)...
[2017-07-14 13:16:59] Downloading update (5,085 of 6,284 KB)...
[2017-07-14 13:16:59] Downloading update (5,093 of 6,284 KB)...
[2017-07-14 13:16:59] Downloading update (5,094 of 6,284 KB)...
[2017-07-14 13:17:00] Downloading update (5,097 of 6,284 KB)...
[2017-07-14 13:17:00] Downloading update (5,108 of 6,284 KB)...
[2017-07-14 13:17:00] Downloading update (5,109 of 6,284 KB)...
[2017-07-14 13:17:01] Downloading update (5,111 of 6,284 KB)...
[2017-07-14 13:17:01] Downloading update (5,116 of 6,284 KB)...
[2017-07-14 13:17:01] Downloading update (5,132 of 6,284 KB)...
[2017-07-14 13:17:02] Downloading update (5,142 of 6,284 KB)...
[2017-07-14 13:17:02] Downloading update (5,146 of 6,284 KB)...
[2017-07-14 13:17:02] Downloading update (5,148 of 6,284 KB)...
[2017-07-14 13:17:04] Downloading update (5,159 of 6,284 KB)...
[2017-07-14 13:17:04] Downloading update (5,168 of 6,284 KB)...
[2017-07-14 13:17:05] Downloading update (5,175 of 6,284 KB)...
[2017-07-14 13:17:05] Downloading update (5,193 of 6,284 KB)...
[2017-07-14 13:17:06] Downloading update (5,194 of 6,284 KB)...
[2017-07-14 13:17:06] Downloading update (5,211 of 6,284 KB)...
[2017-07-14 13:17:07] Downloading update (5,217 of 6,284 KB)...
[2017-07-14 13:17:08] Downloading update (5,218 of 6,284 KB)...
[2017-07-14 13:17:08] Downloading update (5,224 of 6,284 KB)...
[2017-07-14 13:17:08] Downloading update (5,228 of 6,284 KB)...
[2017-07-14 13:17:09] Downloading update (5,237 of 6,284 KB)...
[2017-07-14 13:17:09] Downloading update (5,239 of 6,284 KB)...
[2017-07-14 13:17:09] Downloading update (5,251 of 6,284 KB)...
[2017-07-14 13:17:09] Downloading update (5,261 of 6,284 KB)...
[2017-07-14 13:17:10] Downloading update (5,272 of 6,284 KB)...
[2017-07-14 13:17:10] Downloading update (5,289 of 6,284 KB)...
[2017-07-14 13:17:10] Downloading update (5,292 of 6,284 KB)...
[2017-07-14 13:17:11] Downloading update (5,314 of 6,284 KB)...
[2017-07-14 13:17:11] Downloading update (5,322 of 6,284 KB)...
[2017-07-14 13:17:12] Downloading update (5,323 of 6,284 KB)...
[2017-07-14 13:17:12] Downloading update (5,324 of 6,284 KB)...
[2017-07-14 13:17:13] Downloading update (5,326 of 6,284 KB)...
[2017-07-14 13:17:13] Downloading update (5,333 of 6,284 KB)...
[2017-07-14 13:17:13] Downloading update (5,351 of 6,284 KB)...
[2017-07-14 13:17:14] Downloading update (5,353 of 6,284 KB)...
[2017-07-14 13:17:14] Downloading update (5,354 of 6,284 KB)...
[2017-07-14 13:17:15] Downloading update (5,355 of 6,284 KB)...
[2017-07-14 13:17:15] Downloading update (5,357 of 6,284 KB)...
[2017-07-14 13:17:15] Downloading update (5,368 of 6,284 KB)...
[2017-07-14 13:17:16] Downloading update (5,371 of 6,284 KB)...
[2017-07-14 13:17:16] Downloading update (5,372 of 6,284 KB)...
[2017-07-14 13:17:16] Downloading update (5,382 of 6,284 KB)...
[2017-07-14 13:17:17] Downloading update (5,397 of 6,284 KB)...
[2017-07-14 13:17:17] Downloading update (5,406 of 6,284 KB)...
[2017-07-14 13:17:17] Downloading update (5,421 of 6,284 KB)...
[2017-07-14 13:17:18] Downloading update (5,430 of 6,284 KB)...
[2017-07-14 13:17:18] Downloading update (5,442 of 6,284 KB)...
[2017-07-14 13:17:18] Downloading update (5,450 of 6,284 KB)...
[2017-07-14 13:17:18] Downloading update (5,454 of 6,284 KB)...
[2017-07-14 13:17:19] Downloading update (5,472 of 6,284 KB)...
[2017-07-14 13:17:20] Downloading update (5,481 of 6,284 KB)...
[2017-07-14 13:17:20] Downloading update (5,486 of 6,284 KB)...
[2017-07-14 13:17:20] Downloading update (5,502 of 6,284 KB)...
[2017-07-14 13:17:20] Downloading update (5,536 of 6,284 KB)...
[2017-07-14 13:17:21] Downloading update (5,555 of 6,284 KB)...
[2017-07-14 13:17:21] Downloading update (5,575 of 6,284 KB)...
[2017-07-14 13:17:21] Downloading update (5,577 of 6,284 KB)...
[2017-07-14 13:17:22] Downloading update (5,636 of 6,284 KB)...
[2017-07-14 13:17:23] Downloading update (5,650 of 6,284 KB)...
[2017-07-14 13:17:23] Downloading update (5,667 of 6,284 KB)...
[2017-07-14 13:17:24] Downloading update (5,680 of 6,284 KB)...
[2017-07-14 13:17:24] Downloading update (5,687 of 6,284 KB)...
[2017-07-14 13:17:25] Downloading update (5,704 of 6,284 KB)...
[2017-07-14 13:17:26] Downloading update (5,705 of 6,284 KB)...
[2017-07-14 13:17:27] Downloading update (5,706 of 6,284 KB)...
[2017-07-14 13:17:27] Downloading update (5,707 of 6,284 KB)...
[2017-07-14 13:17:27] Downloading update (5,715 of 6,284 KB)...
[2017-07-14 13:17:28] Downloading update (5,716 of 6,284 KB)...
[2017-07-14 13:17:28] Downloading update (5,722 of 6,284 KB)...
[2017-07-14 13:17:28] Downloading update (5,735 of 6,284 KB)...
[2017-07-14 13:17:29] Downloading update (5,736 of 6,284 KB)...
[2017-07-14 13:17:31] Downloading update (5,738 of 6,284 KB)...
[2017-07-14 13:17:31] Downloading update (5,741 of 6,284 KB)...
[2017-07-14 13:17:32] Downloading update (5,747 of 6,284 KB)...
[2017-07-14 13:17:32] Downloading update (5,749 of 6,284 KB)...
[2017-07-14 13:17:32] Downloading update (5,755 of 6,284 KB)...
[2017-07-14 13:17:32] Downloading update (5,760 of 6,284 KB)...
[2017-07-14 13:17:33] Downloading update (5,769 of 6,284 KB)...
[2017-07-14 13:17:33] Downloading update (5,770 of 6,284 KB)...
[2017-07-14 13:17:33] Downloading update (5,773 of 6,284 KB)...
[2017-07-14 13:17:34] Downloading update (5,794 of 6,284 KB)...
[2017-07-14 13:17:34] Downloading update (5,796 of 6,284 KB)...
[2017-07-14 13:17:34] Downloading update (5,805 of 6,284 KB)...
[2017-07-14 13:17:35] Downloading update (5,815 of 6,284 KB)...
[2017-07-14 13:17:36] Downloading update (5,816 of 6,284 KB)...
[2017-07-14 13:17:36] Downloading update (5,818 of 6,284 KB)...
[2017-07-14 13:17:36] Downloading update (5,821 of 6,284 KB)...
